id,description,recipe_id,measure,parsedName,quantity,cleanDescription,,Store Section
14861,½ cup unsweetened almond milk,3178,cup,almond milk,2-Jan,1/2 cup unsweetened almond milk,,
14862,1 packet stevia sweetener (such as Truvia®)  (Optional),3178,,,,1 packet stevia sweetener (such as Truvia®)  (Optional),,
14863,2 tablespoons sugar-free white chocolate-flavored syrup (such as Torani®),3178,,,,2 tablespoons sugar-free white chocolate-flavored syrup (such as Torani®),,
14864,1 cup brewed coffee,3178,cup,coffee,1,1 cup brewed coffee,,
14865,1 (16 ounce) package prepared polenta,43,,polenta,1,1 (16 ounce) package prepared polenta,,
14866,nonstick olive oil cooking spray,43,,olive oil cooking spray,,nonstick olive oil cooking spray,,
14867,salt and ground black pepper to taste,43,,salt and black pepper,,salt and ground black pepper to taste,,
14868,1 cup fine bulgur,3130,cup,fine bulgur,1,1 cup fine bulgur,,
14869,1 cup boiling water,3130,cup,water,1,1 cup boiling water,,
14870,2 tablespoons olive oil,3130,tablespoon,olive oil,2,2 tablespoons olive oil,,
14871,"1  onion, finely chopped",3130,,,,"1  onion, finely chopped",,
14872,"2 large tomatoes, finely chopped",3130,,tomatoes,2,"2 large tomatoes, finely chopped",,
14873,"1  cucumber, diced",3130,,,,"1  cucumber, diced",,
14874,"2  green bell peppers, finely chopped",3130,,,,"2  green bell peppers, finely chopped",,
14875,"1  red bell pepper, finely chopped",3130,,,,"1  red bell pepper, finely chopped",,
14876,"7  green onions, finely chopped",3130,,,,"7  green onions, finely chopped",,
14877,½ cup minced fresh parsley,3130,cup,parsley,2-Jan,1/2 cup minced fresh parsley,,
14878,½ cup minced fresh mint leaves,3130,cup,mint leaves,2-Jan,1/2 cup minced fresh mint leaves,,
14879,"1 teaspoon red pepper flakes, or to taste",3130,teaspoon,red pepper flakes,1,"1 teaspoon red pepper flakes, or to taste",,
14880,juice of 1 fresh lemon,3130,,juice of 1 fresh lemon,,juice of 1 fresh lemon,,
14881,2 tablespoons pomegranate molasses,3130,tablespoon,pomegranate molasses,2,2 tablespoons pomegranate molasses,,
14882,2 cups dry red lentils,886,cup,dry red lentils,2,2 cups dry red lentils,,
14883,"1 tablespoon olive oil, or to taste",886,tablespoon,olive oil,1,"1 tablespoon olive oil, or to taste",,
14884,3 tablespoons vegetable bouillon (such as Better Than Bouillon®),886,,,,3 tablespoons vegetable bouillon (such as Better Than Bouillon®),,
14885,"2  white onions, minced",886,,,,"2  white onions, minced",,
14886,"½ bulb garlic, minced",886,bulb,garlic,2-Jan,"1/2 bulb garlic, minced",,
14887,1 teaspoon ground coriander,886,teaspoon,coriander,1,1 teaspoon ground coriander,,
14888,1 teaspoon ground cumin,886,teaspoon,cumin,1,1 teaspoon ground cumin,,
14889,1 teaspoon ground turmeric,886,teaspoon,turmeric,1,1 teaspoon ground turmeric,,
14890,1 teaspoon curry powder,886,teaspoon,curry powder,1,1 teaspoon curry powder,,
14891,2 (32 fluid ounce) containers vegetable broth,886,,vegetable broth,2,2 (32 fluid ounce) containers vegetable broth,,
14892,1 bunch Swiss chard,886,bunch,Swiss chard,1,1 bunch Swiss chard,,
14893,1 ½ cups brown and wild rice mix,325,,,,1 1/2 cups brown and wild rice mix,,
14894,2 cups water,325,cup,water,2,2 cups water,,
14895,1 cup orange juice,325,cup,orange juice,1,1 cup orange juice,,
14896,"½ teaspoon salt, or to taste",325,teaspoon,salt,2-Jan,"1/2 teaspoon salt, or to taste",,
14897,⅓ cup agave nectar,325,cup,agave nectar,,1/3 cup agave nectar,,
14898,3 tablespoons olive oil,325,tablespoon,olive oil,3,3 tablespoons olive oil,,
14899,2 tablespoons apple cider vinegar,325,tablespoon,apple cider vinegar,2,2 tablespoons apple cider vinegar,,
14900,1 ½ cups chopped kale leaves,325,,,,1 1/2 cups chopped kale leaves,,
14901,½ cup chopped red bell pepper,325,cup,red bell pepper,2-Jan,1/2 cup chopped red bell pepper,,
14902,½ cup toasted pine nuts,325,cup,pine nuts,2-Jan,1/2 cup toasted pine nuts,,
14903,¼ cup halved seedless red grapes,325,cup,red grapes,4-Jan,1/4 cup halved seedless red grapes,,
14904,2 tablespoons chopped celery,325,tablespoon,celery,2,2 tablespoons chopped celery,,
14905,"1 tablespoon chopped fresh parsley, or to taste",325,tablespoon,parsley,1,"1 tablespoon chopped fresh parsley, or to taste",,
14906,"1 tablespoon chopped fresh basil, or to taste",325,tablespoon,basil,1,"1 tablespoon chopped fresh basil, or to taste",,
14907,"1  lemon, zested",325,,,,"1  lemon, zested",,
14908,1 cup uncooked adzuki beans,1328,cup,adzuki beans,1,1 cup uncooked adzuki beans,,
14909,1 tablespoon olive oil,1328,tablespoon,olive oil,1,1 tablespoon olive oil,,
14910,"2 cloves garlic, peeled and crushed",1328,clove,garlic,2,"2 cloves garlic, peeled and crushed",,
14911,6 cups roughly chopped kale,1328,cup,kale,6,6 cups roughly chopped kale,,
14912,2 tablespoons water,1328,tablespoon,water,2,2 tablespoons water,,
14913,¼ cup tamari,1328,cup,tamari,4-Jan,1/4 cup tamari,,
14914,1 teaspoon ground cumin,1328,teaspoon,cumin,1,1 teaspoon ground cumin,,
14915,1 teaspoon ground coriander,1328,teaspoon,coriander,1,1 teaspoon ground coriander,,
14916,salt and pepper to taste,1328,,salt and pepper,,salt and pepper to taste,,
14917,"2 tablespoons vegetable oil, divided, or as needed",2360,tablespoon,vegetable oil,2,"2 tablespoons vegetable oil, divided, or as needed",,
14918,"1 (12 ounce) package extra-firm tofu, cubed",2360,,tofu,1,"1 (12 ounce) package extra-firm tofu, cubed",,
14919,"½ medium yellow onion, thinly sliced",2360,,onion,2-Jan,"1/2 medium yellow onion, thinly sliced",,
14920,4 teaspoons panang curry paste,2360,teaspoon,panang curry paste,4,4 teaspoons panang curry paste,,
14921,1 (14 ounce) can coconut milk,2360,,coconut milk,1,1 (14 ounce) can coconut milk,,
14922,1 cup vegetable broth,2360,cup,vegetable broth,1,1 cup vegetable broth,,
14923,"4 large red potatoes, peeled and cubed",2360,,red potatoes,4,"4 large red potatoes, peeled and cubed",,
14924,¼ cup string beans,2360,cup,string beans,4-Jan,1/4 cup string beans,,
14925,½ cup red wine vinegar,1991,cup,red wine vinegar,2-Jan,1/2 cup red wine vinegar,,
14926,½ cup olive oil,1991,cup,olive oil,2-Jan,1/2 cup olive oil,,
14927,½ cup white sugar,1991,cup,white sugar,2-Jan,1/2 cup white sugar,,
14928,1 tablespoon soy sauce,1991,tablespoon,soy sauce,1,1 tablespoon soy sauce,,
14929,¼ cup margarine,1991,cup,margarine,4-Jan,1/4 cup margarine,,
14930,¼ cup blanched slivered almonds,1991,cup,almonds,4-Jan,1/4 cup blanched slivered almonds,,
14931,¼ cup sesame seeds,1991,cup,sesame seeds,4-Jan,1/4 cup sesame seeds,,
14932,"2 (3 ounce) packages ramen noodle pasta, crushed",1991,,,2,"2 (3 ounce) packages ramen noodle pasta, crushed",,
14933,1 medium head bok choy,1991,head,bok choy,1,1 medium head bok choy,,
14934,3  green onions,1991,,,,3  green onions,,
14935,1 teaspoon garlic powder,2410,teaspoon,garlic powder,1,1 teaspoon garlic powder,,
14936,1 tablespoon salt,2410,tablespoon,salt,1,1 tablespoon salt,,
14937,2 teaspoons ground black pepper,2410,teaspoon,black pepper,2,2 teaspoons ground black pepper,,
14938,"1 pound firm tofu, drained",2410,pound,firm tofu,1,"1 pound firm tofu, drained",,
14939,8 ounces Japanese udon noodles,3127,ounce,Japanese udon noodles,8,8 ounces Japanese udon noodles,,
14940,"1 (16 ounce) package firm tofu, drained",3127,,(16 ounce) package firm tofu,1,"1 (16 ounce) package firm tofu, drained",,
14941,"1 ½ cups shredded cabbage, or more to taste",3127,,,,"1 1/2 cups shredded cabbage, or more to taste",,
14942,1 cup shredded carrot,3127,cup,carrot,1,1 cup shredded carrot,,
14943,"1 small sweet red pepper, seeded and cut into thin strips",3127,,red pepper,1,"1 small sweet red pepper, seeded and cut into thin strips",,
14944,"2  scallions, or more to taste, thinly sliced",3127,,,,"2  scallions, or more to taste, thinly sliced",,
14945,½ cup vegetable broth,3127,cup,vegetable broth,2-Jan,1/2 cup vegetable broth,,
14946,6 tablespoons natural peanut butter,3127,tablespoon,peanut butter,6,6 tablespoons natural peanut butter,,
14947,2 tablespoons brown sugar,3127,tablespoon,brown sugar,2,2 tablespoons brown sugar,,
14948,"2 tablespoons soy sauce, or more to taste",3127,tablespoon,soy sauce,2,"2 tablespoons soy sauce, or more to taste",,
14949,1 tablespoon rice vinegar,3127,tablespoon,rice vinegar,1,1 tablespoon rice vinegar,,
14950,"4 cloves garlic, minced",3127,clove,garlic,4,"4 cloves garlic, minced",,
14951,"1 (1 inch) piece fresh ginger, peeled and minced",3127,,(1 inch) piece fresh ginger,1,"1 (1 inch) piece fresh ginger, peeled and minced",,
14952,¼ teaspoon cayenne pepper,3127,teaspoon,cayenne pepper,4-Jan,1/4 teaspoon cayenne pepper,,
14953,2 cups boiling water,2877,cup,water,2,2 cups boiling water,,
14954,1 cup dry lentils,2877,cup,dry lentils,1,1 cup dry lentils,,
14955,1 cup texturized vegetable protein (TVP),2877,cup,texturized vegetable protein (TVP),1,1 cup texturized vegetable protein (TVP),,
14956,1 cup vegetable broth,2877,cup,vegetable broth,1,1 cup vegetable broth,,
14957,2 tablespoons olive oil,2877,tablespoon,olive oil,2,2 tablespoons olive oil,,
14958,"1 small yellow onion, diced",2877,,onion,1,"1 small yellow onion, diced",,
14959,"1 medium carrot, diced",2877,,carrot,1,"1 medium carrot, diced",,
14960,"1 stalk celery, diced",2877,stalk,celery,1,"1 stalk celery, diced",,
14961,"1 small red bell pepper, diced",2877,,red bell pepper,1,"1 small red bell pepper, diced",,
14962,"1  fresh hot pepper, minced  (Optional)",2877,,,,"1  fresh hot pepper, minced  (Optional)",,
14963,1 tablespoon dried oregano,2877,tablespoon,oregano,1,1 tablespoon dried oregano,,
14964,1  bay leaf,2877,,,,1  bay leaf,,
14965,¼ cup vegan red wine,2877,cup,vegan red wine,4-Jan,1/4 cup vegan red wine,,
14966,1 (14.5 ounce) can diced tomatoes,2877,,tomatoes,1,1 (14.5 ounce) can diced tomatoes,,
14967,2 cups vegetable broth,2877,cup,vegetable broth,2,2 cups vegetable broth,,
14968,1 cup water,2877,cup,water,1,1 cup water,,
14969,1 teaspoon salt,2877,teaspoon,salt,1,1 teaspoon salt,,
14970,1 cup Italian coarse-ground polenta cornmeal,2877,cup,Italian coarse-ground polenta cornmeal,1,1 cup Italian coarse-ground polenta cornmeal,,
14971,4 tablespoons vegan butter,2877,tablespoon,vegan butter,4,4 tablespoons vegan butter,,
14972,¼ cup shredded vegan white cheese,2877,cup,white cheese,4-Jan,1/4 cup shredded vegan white cheese,,
14973,"1  onion, chopped",1016,,,,"1  onion, chopped",,
14974,"5  carrots, chopped",1016,,,,"5  carrots, chopped",,
14975,"5 stalks celery, chopped",1016,stalk,celery,5,"5 stalks celery, chopped",,
14976,"5 cloves garlic, chopped",1016,clove,garlic,5,"5 cloves garlic, chopped",,
14977,"4 cups water, or as needed",1016,cup,water,4,"4 cups water, or as needed",,
14978,"1 teaspoon olive oil, or to taste",1016,teaspoon,olive oil,1,"1 teaspoon olive oil, or to taste",,
14979,2  bay leaves,1016,,,,2  bay leaves,,
14980,salt and ground black pepper to taste,1016,,salt and black pepper,,salt and ground black pepper to taste,,
14981,1 (16 ounce) package dry lentils,1016,,dry lentils,1,1 (16 ounce) package dry lentils,,
14982,"1 teaspoon vinegar, or to taste",1016,teaspoon,vinegar,1,"1 teaspoon vinegar, or to taste",,
14983,1 ¼ cups all-purpose flour,879,,,,1 1/4 cups all-purpose flour,,
14984,1 tablespoon baking powder,879,tablespoon,baking powder,1,1 tablespoon baking powder,,
14985,½ teaspoon fine sea salt,879,teaspoon,fine sea salt,2-Jan,1/2 teaspoon fine sea salt,,
14986,¼ cup pureed extra-firm tofu,879,cup,extra-firm tofu,4-Jan,1/4 cup pureed extra-firm tofu,,
14987,1 cup soy milk,879,cup,soy milk,1,1 cup soy milk,,
14988,1 tablespoon canola oil,879,tablespoon,canola oil,1,1 tablespoon canola oil,,
14989,½ cup water,879,cup,water,2-Jan,1/2 cup water,,
14990,2 tablespoons olive oil,1508,tablespoon,olive oil,2,2 tablespoons olive oil,,
14991,"1 small onion, diced",1508,,onion,1,"1 small onion, diced",,
14992,"1 small poblano pepper, diced",1508,,poblano pepper,1,"1 small poblano pepper, diced",,
14993,"1 clove garlic, chopped",1508,clove,garlic,1,"1 clove garlic, chopped",,
14994,1 cup basmati rice,1508,cup,basmati rice,1,1 cup basmati rice,,
14995,2 teaspoons paprika,1508,teaspoon,paprika,2,2 teaspoons paprika,,
14996,1 teaspoon ground cumin,1508,teaspoon,cumin,1,1 teaspoon ground cumin,,
14997,1 teaspoon dried oregano,1508,teaspoon,oregano,1,1 teaspoon dried oregano,,
14998,salt and ground black pepper to taste,1508,,salt and black pepper,,salt and ground black pepper to taste,,
14999,2 tablespoons tomato paste,1508,tablespoon,tomato paste,2,2 tablespoons tomato paste,,
15000,2 cups vegetable broth,1508,cup,vegetable broth,2,2 cups vegetable broth,,
15001,"1 (14 ounce) can pinto beans, rinsed and drained",1508,,(14 ounce) can pinto beans,1,"1 (14 ounce) can pinto beans, rinsed and drained",,
15002,"2 tablespoons vegetable oil, divided",1978,tablespoon,vegetable oil,2,"2 tablespoons vegetable oil, divided",,
15003,1 cup chopped sweet potato,1978,cup,potato,1,1 cup chopped sweet potato,,
15004,1 cup chopped beet,1978,cup,beet,1,1 cup chopped beet,,
15005,1 cup chopped peeled pumpkin,1978,cup,pumpkin,1,1 cup chopped peeled pumpkin,,
15006,"½ head cauliflower, broken into florets",1978,head,cauliflower,2-Jan,"1/2 head cauliflower, broken into florets",,
15007,"1 small onion, chopped",1978,,onion,1,"1 small onion, chopped",,
15008,"1  red bell pepper, chopped",1978,,,,"1  red bell pepper, chopped",,
15009,"3 cloves garlic, chopped",1978,clove,garlic,3,"3 cloves garlic, chopped",,
15010,2 tablespoons mild curry powder,1978,tablespoon,curry powder,2,2 tablespoons mild curry powder,,
15011,1 teaspoon ground cumin,1978,teaspoon,cumin,1,1 teaspoon ground cumin,,
15012,1 teaspoon ground coriander,1978,teaspoon,coriander,1,1 teaspoon ground coriander,,
15013,1 teaspoon ground turmeric,1978,teaspoon,turmeric,1,1 teaspoon ground turmeric,,
15014,1 ½ cups tomato puree,1978,,,,1 1/2 cups tomato puree,,
15015,1 teaspoon white sugar,1978,teaspoon,white sugar,1,1 teaspoon white sugar,,
15016,water as needed,1978,,water,,water as needed,,
15017,"2 (8 ounce) tubs vegan cream cheese, such as Toffutti®",2907,,,,"2 (8 ounce) tubs vegan cream cheese, such as Toffutti®",,
15018,½ cup white sugar,2907,cup,white sugar,2-Jan,1/2 cup white sugar,,
15019,¼ cup brown sugar,2907,cup,brown sugar,4-Jan,1/4 cup brown sugar,,
15020,1 (15 ounce) can pumpkin puree,2907,,pumpkin puree,1,1 (15 ounce) can pumpkin puree,,
15021,1 (6 ounce) container vegan vanilla yogurt (such as Silk®),2907,,,,1 (6 ounce) container vegan vanilla yogurt (such as Silk®),,
15022,"2 ½ teaspoons pumpkin pie spice, or more to taste",2907,,,,"2 1/2 teaspoons pumpkin pie spice, or more to taste",,
15023,1 ½ teaspoons dry vegan egg replacer,2907,,,,1 1/2 teaspoons dry vegan egg replacer,,
15024,¼ teaspoon salt,2907,teaspoon,salt,4-Jan,1/4 teaspoon salt,,
15025,2 (9 inch)  vegan pastry shells,2907,,,,2 (9 inch)  vegan pastry shells,,
15026,2 ½ cups durum wheat semolina flour (such as Bob's Red Mill®),1139,,,,2 1/2 cups durum wheat semolina flour (such as Bob's Red Mill®),,
15027,1 pinch salt,1139,pinch,salt,1,1 pinch salt,,
15028,"1 cup water, or as needed, at room temperature",1139,cup,water,1,"1 cup water, or as needed, at room temperature",,
15029,½ cup avocado oil,575,cup,avocado oil,2-Jan,1/2 cup avocado oil,,
15030,¼ cup olive oil,575,cup,olive oil,4-Jan,1/4 cup olive oil,,
15031,¼ cup white vinegar,575,cup,white vinegar,4-Jan,1/4 cup white vinegar,,
15032,"1 teaspoon lemon juice, or more to taste",575,teaspoon,lemon juice,1,"1 teaspoon lemon juice, or more to taste",,
15033,"1 teaspoon sesame oil, or more to taste",575,teaspoon,sesame oil,1,"1 teaspoon sesame oil, or more to taste",,
15034,"1  avocado - peeled, pitted, and coarsely chopped",575,,,,"1  avocado - peeled, pitted, and coarsely chopped",,
15035,"4 cloves garlic, minced",575,clove,garlic,4,"4 cloves garlic, minced",,
15036,1 teaspoon ground cumin,575,teaspoon,cumin,1,1 teaspoon ground cumin,,
15037,salt and ground black pepper to taste,575,,salt and black pepper,,salt and ground black pepper to taste,,
15038,"2 pounds red potatoes, cut into 1 1/2-inch cubes",432,pound,red potatoes,2,"2 pounds red potatoes, cut into 1 1/2-inch cubes",,
15039,2 tablespoons olive oil,432,tablespoon,olive oil,2,2 tablespoons olive oil,,
15040,salt and ground black pepper to taste,432,,salt and black pepper,,salt and ground black pepper to taste,,
15041,"½ bunch Italian parsley, chopped",432,bunch,Italian parsley,2-Jan,"1/2 bunch Italian parsley, chopped",,
15042,"½ bunch fresh basil, chopped",432,bunch,basil,2-Jan,"1/2 bunch fresh basil, chopped",,
15043,"4 medium garlic cloves, minced",432,,garlic cloves,4,"4 medium garlic cloves, minced",,
15044,2 tablespoons red wine vinegar,432,tablespoon,red wine vinegar,2,2 tablespoons red wine vinegar,,
15045,"½  ripe avocado, thinly sliced",2343,,,,"1/2  ripe avocado, thinly sliced",,
15046,"½  ripe tomato, thinly sliced",2343,,,,"1/2  ripe tomato, thinly sliced",,
15047,4 thin slices cucumber,2343,slice,cucumber,4,4 thin slices cucumber,,
15048,1 thin slice red onion,2343,slice,red onion,1,1 thin slice red onion,,
15049,"1  hoagie roll, split lengthwise",2343,,,,"1  hoagie roll, split lengthwise",,
15050,1 dash lemon juice,2343,dash,lemon juice,1,1 dash lemon juice,,
15051,salt and ground black pepper to taste,2343,,salt and black pepper,,salt and ground black pepper to taste,,
15052,1 leaf Romaine lettuce,2343,leaf,Romaine lettuce,1,1 leaf Romaine lettuce,,
15053,1 teaspoon vegan mayonnaise (such as Veganaise®)  (Optional),2343,,,,1 teaspoon vegan mayonnaise (such as Veganaise®)  (Optional),,
15054,"1  eggplant, sliced into 1/2-inch rounds",1276,,,,"1  eggplant, sliced into 1/2-inch rounds",,
15055,⅓ cup extra virgin olive oil,1276,cup,extra virgin olive oil,,1/3 cup extra virgin olive oil,,
15056,"2 cloves garlic, minced",1276,clove,garlic,2,"2 cloves garlic, minced",,
15057,⅛ teaspoon salt,1276,teaspoon,salt,,1/8 teaspoon salt,,
15058,2 tablespoons chopped fresh basil,1276,tablespoon,basil,2,2 tablespoons chopped fresh basil,,
15059,1 tablespoon chopped fresh flat-leaf parsley,1276,tablespoon,flat-leaf parsley,1,1 tablespoon chopped fresh flat-leaf parsley,,
15060,¾ cup white sugar,1468,cup,white sugar,4-Mar,3/4 cup white sugar,,
15061,1 teaspoon celery seed,1468,teaspoon,celery seed,1,1 teaspoon celery seed,,
15062,½ teaspoon ground black pepper,1468,teaspoon,black pepper,2-Jan,1/2 teaspoon ground black pepper,,
15063,1 cup distilled white vinegar,1468,cup,white vinegar,1,1 cup distilled white vinegar,,
15064,¼ cup canola oil,1468,cup,canola oil,4-Jan,1/4 cup canola oil,,
15065,1 teaspoon salt,1468,teaspoon,salt,1,1 teaspoon salt,,
15066,"2 cups cucumbers, peeled and thinly sliced",1468,cup,cucumbers,2,"2 cups cucumbers, peeled and thinly sliced",,
15067,"1  onion, sliced into thin rings",1468,,,,"1  onion, sliced into thin rings",,
15068,2 cups thinly sliced carrots,1468,cup,carrots,2,2 cups thinly sliced carrots,,
15069,½ cup chopped celery,1468,cup,celery,2-Jan,1/2 cup chopped celery,,
